en-cat	cat	en-sp	sp
Most of these services are provided directly by the City Council and others through its subsidiary organisations.	La majoria d'aquests serveis són prestats de manera directa per l'Ajuntament i altres a través de algun dels seus ens dependents.	Most of these services are provided directly by the City Council and others	La mayoría de estos servicios son prestados de manera directa por el Ayuntamiento y otros, a través de alguno de sus entes dependientes.
	through its subsidiary organisations.	Con respecto a la gestión indirecta de los servicios públicos, los contratos más significativos son:
As for indirect management of public services, the most important contracts are: • Household supply of drinking water.	Pel que fa a la gestió indirecta dels serveis públics, els contractes més significatius són:	As for indirect management of public services, the most important contracts are: • Household supply of drinking water.	• Abastecimiento domiciliario de agua potable
• Waste water disposal and treatment.	• Abastament domiciliari d'aigua potable.	• Waste water disposal and treatment.	• Evacuación y tratamiento de aguas residuales
• Underground vehicle parking.	• Evacuació i tractament d'aigües residuals.	• Underground vehicle parking.	• Estacionamiento de vehículos en el subsuelo
• Public passenger transport.	• Estacionament de vehicles en el subsòl.	• Public passenger transport.	• El transporte público de viajeros
The Barcelona Metropolitan Area (AMB), as the Local Entity, is responsible	• El transport públic de viatgers.	The Barcelona Metropolitan Area (AMB), as the Local Entity, is responsible	El servicio de abastecimiento de agua domiciliaria de la ciudad de Barcelona es
for supplying household water to the city of Barcelona, as set out in Spanish	El servei d'abastament d'aigua domiciliària de la ciutat de Barcelona és	for supplying household water to the city of Barcelona, as set out in Spanish	competencia del Área Metropolitana de Barcelona como ente local, tal como se
Legislative Decree 3/2003 of 4 November. The AMB provides that service through a semi-public company called Aigües de Barcelona, Empresa Metropolitana de Gestió del Cicle Integral de l'Aigua SA, made up by Aigües de Barcelona (70%); Criteria (15%) and the AMB (15%). The company uses the municipally owned assets allocated to the service when it was incorporated. Barcelona's disposal and treatment of waste water falls under the jurisdiction of	competència de l'Àrea Metropolitana de Barcelona (AMB) com a Ens Local tal i com s'estableix en el Decret legislatiu 3/2003, del 4 de novembre. Aquesta dóna el servei a través d'una societat de capital mixt anomenada Aigües de Barcelona, empresa metropolitana de gestió del cicle integral de l'aigua SA, formada per la Societat General d'Aigües de Barcelona (70%); Criteria (15%) i l'AMB (15%). La societat utilitza els béns de propietat municipal afectes al servei en el moment de la constitució.	Legislative Decree 3/2003 of 4 November. The AMB provides that service through a semi-public company called Aigües de Barcelona, Empresa Metropolitana de Gestió del Cicle Integral de l'Aigua SA, made up by Aigües de Barcelona (70%); Criteria (15%) and the AMB (15%). The company uses the municipally owned assets allocated to the service when it was incorporated.	establece en el Decreto legislativo 3/2003, de 4 de noviembre. Este da el servicio
	Barcelona's disposal and treatment of waste water falls under the jurisdiction of	a través de una sociedad de capital mixto llamada Aguas de Barcelona, Empresa
		Metropolitana de Gestión del Ciclo Integral del Agua, SA, formada por Aguas de
		Barcelona (70 %), Criteria (15 %) y AMB (15 %). La sociedad utiliza los bienes de
		propiedad municipal afectos al servicio en el momento de la constitución.
the Barcelona Metropolitan Area as the Local Entity and established as such under Legislative Decree 3/2003 of 4 November. The AMB provides that service through a semi-public company called Aigües de Barcelona, Empresa Metropolitana de Gestió del Cicle Integral de l'Aigua SA, made up by Aigües de Barcelona (70%); Criteria (15%) and the AMB (15%). The company uses the municipally owned assets allocated to the service when it was incorporated.	El servei d'evacuació i tractament d'aigües residuals de la ciutat de Barcelona es competència de l'Àrea Metropolitana de Barcelona com a Ens Local tal i com s'estableix en el Decret legislatiu 3/2003, del 4 de novembre. Aquesta dóna el servei a través d'una societat de capital mixt anomenada Aigües de Barcelona, empresa metropolitana de gestió del cicle integral de l'aigua SA, formada per la Societat General d'Aigües de Barcelona (70%); Criteria (15%) i l'AMB (15%). La societat utilitza els béns de propietat municipal afectes al servei en el moment de la constitució.	the Barcelona Metropolitan Area as the Local Entity and established as such under	El servicio de evacuación y tratamiento de aguas residuales de la ciudad de
	Legislative Decree 3/2003 of 4 November. The AMB provides that service through a semi-public company called Aigües de Barcelona, Empresa Metropolitana de Gestió del Cicle Integral de l'Aigua SA, made up by Aigües de Barcelona (70%); Criteria (15%) and the AMB (15%). The company uses the municipally owned assets allocated to the service when it was incorporated.	Barcelona es competencia del Área Metropolitana de Barcelona como ente local, tal como se establece en el Decreto legislativo 3/2003, de 4 de noviembre.
The vehicle parking service is managed directly for street-level parking and indirectly for underground parking. Underground parking spaces and, more specifically, those located in Barcelona's	El servei d'estacionament de vehicles es gestiona de forma directa pel que fa a aquells aparcaments en superfície, i de manera indirecta per aquells aparcaments situats en el subsòl.	The vehicle parking service is managed directly for street-level parking and	Este da el servicio a través de una sociedad de capital mixto llamada Aguas de
	indirectly for underground parking.	Barcelona, Empresa Metropolitana de Gestión del Ciclo Integral del Agua, SA,
		formada por Aguas de Barcelona (70 %), Criteria (15 %) y AMB (15 %). La sociedad utiliza los bienes de propiedad municipal afectos al servicio en el momento de la constitución.
	Underground parking spaces and, more specifically, those located in Barcelona's	El servicio de estacionamiento de vehículos se gestiona de forma directa con
		respecto a aquellos aparcamientos en superficie, y de manera indirecta por
		aquellos aparcamientos situados en el subsuelo.
city centre (central perimeter), are managed indirectly through a mixed- economy company in the form of a public limited company (SA) called Barcelona d'Aparcaments Municipals, SA (BAMSA), owned by Saba Car Park, SL (60%) and BSM (40%). The company was incorporated for a 25-year period and uses the municipally owned assets allocated to the service at the time of its incorporation. The public passenger transport service is managed by the Metropolitan Transport Authority (ATM), which was created as a voluntary inter-administrative consortium and set up in the 1997 financial year. The consortium is made up of the following authorities: the Generalitat [regional government] of Catalonia (51 %) and local authorities (49%), the latter consisting of Barcelona City Council, the Barcelona Metropolitan Area (AMB) and the Association of Municipalities for Mobility and	Pel que fa a la gestió indirecta dels aparcaments situats en el subsòl, i en concret els ubicats al centre de la ciutat de Barcelona (perímetre central), són gestionats de forma indirecta per mitjà d'una societat d'economia mixta amb la forma de societat anònima i el nom de Barcelona d'Aparcaments Municipals, SA (BAMSA) formada per Saba Car Park, SL (60%) i BSM (40%). La societat fou constituïda per un termini de 25 anys, i utilitza els béns de propietat municipal afectes al servei en el moment de la constitució.	city centre (central perimeter), are managed indirectly through a mixed-	Con respecto a la gestión indirecta de los aparcamientos situados en el subsuelo,
	economy company in the form of a public limited company (SA) called Barcelona d'Aparcaments Municipals, SA (BAMSA), owned by Saba Car Park, SL (60%) and BSM (40%). The company was incorporated for a 25-year period and uses the	y en concreto los ubicados en el centro de la ciudad de Barcelona (perímetro central), son gestionados de forma indirecta por medio de una sociedad de
	municipally owned assets allocated to the service at the time of its incorporation.	economía mixta con la forma de sociedad anónima y el nombre de Barcelona
	The public passenger transport service is managed by the Metropolitan Transport Authority (ATM), which was created as a voluntary inter-administrative consortium and set up in the 1997 financial year. The consortium is made up of the following	de Aparcamientos Municipales, SA (BAMSA), formada por Saba Car Park, SL (60 %), y BSM (40 %). La sociedad fue constituida por un plazo de 25 años, y
	authorities: the Generalitat [regional government] of Catalonia (51 %) and local	utiliza los bienes de propiedad municipal afectos al servicio en el momento de la
	authorities (49%), the latter consisting of Barcelona City Council, the Barcelona	constitución. El servicio de transporte público de viajeros se gestiona mediante la Autoridad del Transporte Metropolitano (ATM), creado como un consorcio interadministrativo de carácter voluntario, constituido en el ejercicio 1997. Las administraciones
	Metropolitan Area (AMB) and the Association of Municipalities for Mobility and	consorciadas son la Generalitat de Catalunya (51 %) y administraciones locales (49 %), que son el Ayuntamiento de Barcelona, el Área Metropolitana de Barcelona (AMB) y la Asociación de Municipios por la Movilidad y el Transporte Urbano
Urban Transport (AMTU). The contributions made to this consortium by the City Council during the 2017 financial year under the ATM's four-year plan (2014-2017) came to €136.67 million.	El servei de transport públic de viatgers es gestiona mitjançant l'Autoritat del Transport Metropolità (ATM), creat com un consorci interadministratiu de caràcter voluntari, constituït en l'exercici 1997. Les administracions consorciades són la Generalitat de Catalunya (51 %) i administracions locals (49 %), que són l'Ajuntament de Barcelona, l'Àrea Metropolitana de Barcelona (AMB) i l'Associació de Municipis per la Mobilitat i el Transport Urbà (AMTU). Les aportacions efectuades per l'Ajuntament en l'exercici 2017 a aquest consorci en virtut del pla quadriennal 2014-2017 de l'ATM han estat de 136,67 milions d'euros.	Urban Transport (AMTU). The contributions made to this consortium by the City	(AMTU). Las aportaciones efectuadas por el Ayuntamiento en el ejercicio 2017 a
	Council during the 2017 financial year under the ATM's four-year plan (2014-2017) came to €136.67 million.	este consorcio en virtud del plan cuatrienal 2014-2017 de la ATM han sido de 136,67 millones de euros.
3. Bases of presentation of the accounts	3. Bases de presentació dels comptes	3. Bases of presentation of the accounts	3. Bases de presentación de las cuentas
3.1. A true and accurate picture	3.1. Imatge fidel	3.1. A true and accurate picture	3.1. Imagen fiel
These annual accounts have been obtained from the Municipal Corporation's		These annual accounts have been obtained from the Municipal Corporation's	Las cuentas anuales se han obtenido de los registros contables de la corporación,
accounting records as of 31 December 2017 and are presented under current accounting provisions legally in force, for the purposes of showing a true and accurate picture of the equity and the financial situation on the date mentioned herein, of the income and expenditure, of the statement of changes in net equity, of the cash flow, of the results of the implementation of the budget, for the financial year ending on that date, which are expressed in euros. These annual accounts will be part of Barcelona City Council's General Accounts, which will be submitted for approval at the Full Municipal Council Meeting within	Els comptes anuals s'han obtingut dels registres comptables de la Corporació tancats a 31 de desembre de 2017, i es presenten d'acord amb les disposicions legals vigents en matèria comptable, amb l'objecte de mostrar la imatge fidel del patrimoni i de la situació financera a la data esmentada, del resultat econòmic-patrimonial, dels canvis en el patrimoni net, dels fluxos d'efectiu, i del resultat de l'execució del pressupost, corresponents a l'exercici anual acabat en la mateixa data, els quals s'expressen en euros.	accounting records as of 31 December 2017 and are presented under current	cerrados a 31 de diciembre de 2017, y se presentan de acuerdo con las
	accounting provisions legally in force, for the purposes of showing a true and	disposiciones legales vigentes en materia contable, con el objeto de mostrar la
	accurate picture of the equity and the financial situation on the date mentioned herein, of the income and expenditure, of the statement of changes in net equity, of the cash flow, of the results of the implementation of the budget, for the financial year ending on that date, which are expressed in euros.	imagen fiel del patrimonio y de la situación financiera en la fecha mencionada, del resultado económico-patrimonial, de los cambios en el patrimonio neto, de los flujos de efectivo y del resultado de la ejecución del presupuesto, correspondientes al ejercicio anual acabado en la misma fecha, los cuales se expresan en euros.
	These annual accounts will be part of Barcelona City Council's General Accounts,	Estas cuentas anuales formarán parte de la Cuenta General del Ayuntamiento de
	which will be submitted for approval at the Full Municipal Council Meeting within	
the legal deadlines established. The budget settlement was approved by Mayoral Decree on 28 February 2018.	Aquests comptes anuals formaran part del Compte General de l'Ajuntament de Barcelona, el qual serà sotmès a l'aprovació del Plenari del Consell Municipal en els terminis legals establerts. La liquidació del pressupost ha estat aprovada per Decret d'alcaldia el 28 de febrer de 2018.	the legal deadlines established. The budget settlement was approved by Mayoral Decree on 28 February 2018.	Barcelona, la cual será sometida a la aprobación del Plenario del Consejo Municipal en los plazos legales establecidos. La liquidación del presupuesto ha sido aprobada por decreto de Alcaldía el 28 de febrero de 2018.
The City Council's accounting system is the one provided for under the Act on Local Tax Offices for local entities and their independent bodies. The annual	El règim de comptabilitat de l'Ajuntament és el previst en la Llei reguladora de les Hisendes Locals per a les entitats locals i els seus organismes autònoms.	The City Council's accounting system is the one provided for under the Act on	El régimen de contabilidad del Ayuntamiento es el previsto en la Ley reguladora
	Local Tax Offices for local entities and their independent bodies. The annual	de las haciendas locales para las entidades locales y sus organismos autónomos.
accounts for the 2017 financial year were prepared in accordance with Order	Els comptes anuals de l'exercici 2017 han estat elaborats d'acord amb l'Ordre	accounts for the 2017 financial year were prepared in accordance with Order HAP/1781/2013 of 20 September, approving the Guidelines of the Local Standard	Las cuentas anuales del ejercicio 2016 han sido elaboradas de acuerdo con la Orden HAP/1781/2013, de 20 de setiembre, por la que se aprueba la Instrucción del modelo normal de contabilidad local (en adelante, IMNCL), así como con lo previsto por el Plan general de contabilidad pública adaptado a la Administración local (PGCPAL), que acompaña la IMNCL.
HAP/1781/2013 of 20 September, approving the Guidelines of the Local Standard	HAP/1781/2013, de 20 de setembre, per la qual s'aprova la Instrucció del model	
Accounting Model (henceforth the IMNCL), and with the provisions set out in	normal de comptabilitat local (endavant, la IMNCL), així com amb el que preveu	Accounting Model (henceforth the IMNCL), and with the provisions set out in	Adicionalmente, se ha considerado la siguiente legislación vigente:
the General Public Accounting Plan adapted for Local Authorities (PGCPAL)	el Pla General de Comptabilitat Pública adaptat a l'Administració Local (PGCPAL)	the General Public Accounting Plan adapted for Local Authorities (PGCPAL)	
accompanying the IMNCL.	que acompanya la IMNCL.	accompanying the IMNCL.	
The following current legislation has also been taken into account:	Addicionalment s'ha considerat la següent legislació vigent:	The following current legislation has also been taken into account:	
• Act 7/1985 of 2 April, regulating local government.	• Llei 7/1985, de 2 d'abril, reguladora de les bases de règim local.	• Act 7/1985 of 2 April, regulating local government.	• Ley 7/1985, de 2 de abril, reguladora de las bases de régimen local.
• Royal Decree Law 781/1986 of 18 April, approving the consolidated text of	• Reial decret llei 781/1986, de 18 d'abril, pel qual s'aprova el text refós de	• Royal Decree Law 781/1986 of 18 April, approving the consolidated text of current provisions on local government.	• Real decreto ley 781/1986, de 18 de abril, por el que se aprueba el texto refundido de disposiciones vigentes en materia de régimen local.
current provisions on local government.	disposicions vigents en matèria de règim local.	
• Legislative Decree 2/2003 of 28 April, approving the consolidated text of the Municipal and Local Government Act of Catalonia.	• Decret legislatiu 2/2003, de 28 d'abril, pel qual s'aprova el Text refós de la Llei municipal de règim local de Catalunya.	• Legislative Decree 2/2003 of 28 April, approving the consolidated text of the Municipal and Local Government Act of Catalonia.	• Decreto legislativo 2/2003, de 28 de abril, por el que se aprueba el texto refundido de la Ley municipal de régimen local de Cataluña.
• Royal Legislative Decree 2/2004 of 5 March, approving the consolidated text of the regulatory Act on Local Tax Offices (Act 39/1988 of 28 December).	• Reial decret legislatiu 2/2004, de 5 de març, pel qual s'aprova el Text refós de la Llei reguladora de les hisendes locals (Llei 39/1988, de 28 de desembre).	• Royal Legislative Decree 2/2004 of 5 March, approving the consolidated text of the regulatory Act on Local Tax Offices (Act 39/1988 of 28 December).	• Real decreto legislativo 2/2004, de 5 de marzo, por el que se aprueba el texto refundido de la Ley reguladora de las haciendas locales (Ley 39/1988, de 28 de diciembre).
• Royal Decree 500/1990 of 20 April, developing Chapter I of Title VI of Act 39/1998 of 28 December, regulating budgets in local tax offices.	• Reial decret 500/1990, de 20 de abril, pel qual es desenvolupa el capítol primer del títol sisè de la Llei 39/1998, de 28 de desembre, reguladora de les hisendes locals en matèria de pressupostos.	• Royal Decree 500/1990 of 20 April, developing Chapter I of Title VI of Act 39/1998 of 28 December, regulating budgets in local tax offices.	• Real decreto 500/1990, de 20 de abril, por el que se desarrolla el capítulo primero del título sexto de la Ley 39/1998, de 28 de diciembre, reguladora de las haciendas locales en materia de presupuestos.
• Documents on accounting principles issued by the Commission on Public Account Principles and Standards, created by Ministerial Order by the Secretary of State for Treasury on 28 December 1990.	• Documents sobre principis comptables emesos per la Comissió de Principis i Normes Comptables Públiques, creada per Resolució de la Secretaria d'Estat d'Hisenda de 28 de desembre de 1990.	• Documents on accounting principles issued by the Commission on Public Account Principles and Standards, created by Ministerial Order by the Secretary of State for Treasury on 28 December 1990.	• Documentos sobre principios contables emitidos por la Comisión de Principios y Normas Contables Públicas, creada por Resolución de la Secretaría de Estado de Hacienda de 28 de diciembre de 1990.
• Order of 27 April 2007 on the implementation of Decree 94/1995 of 21 February, as amended by ministerial decrees ECF/2901/2008, ECF/1769/2009, ECF/3210/2010, ECO/1406/2011, ECO/2829/2012 and ECO/2876/2014 on the	• Ordre de 27 d'abril de 2007, sobre desplegament del Decret 94/1995 de 21 de febrer, modificada per les resolucions ECF/2901/2008, ECF/1769/2009, ECF/3210/2010, ECO/1406/2011, ECO/2829/2012 i ECO/2876/2014 en matèria de tutela financera dels ens locals.	• Order of 27 April 2007 on the implementation of Decree 94/1995 of 21 February, as amended by ministerial decrees ECF/2901/2008, ECF/1769/2009, ECF/3210/2010, ECO/1406/2011, ECO/2829/2012 and ECO/2876/2014 on the financial supervision of local entities.	• Orden de 27 de abril de 2007, sobre despliegue del Decreto 94/1995 de 21 de febrero, modificada por las resoluciones ECF/2901/2008, ECF/1769/2009, ECF/3210/2010, ECO/1406/2011, ECO/2829/2012 y ECO/2876/2014 en materia de tutela financiera de los entes locales.
financial supervision of local entities. • Act 15/2010 of 5 July, on the amendment of Act 3/2004 of 29 December, establishing measures against arrears in commercial transactions.	• Llei 15/2010, de 5 de juliol, de modificació de la Llei 3/2004, de 29 de desembre, per la qual s'estableixen mesures de lluita contra la morositat a les operacions comercials.	• Act 15/2010 of 5 July, on the amendment of Act 3/2004 of 29 December, establishing measures against arrears in commercial transactions.	• Ley 15/2010, de 5 de julio, de modificación de la Ley 3/2004, de 29 de diciembre, por la que se establecen medidas de lucha contra la morosidad en las operaciones comerciales.
• Framework Act 2/2012 of 27 April, on budget stability and financial sustainability, with amendments introduced by Framework Act 9/2013 of 20 December, on controlling commercial debt in the public sector.	• Llei orgànica 2/2012, de 27 d'abril, d'estabilitat pressupostària i sostenibilitat financera, amb les modificacions introduïdes per la Llei orgànica 9/2013, de 20 de desembre, de control del deute comercial en el sector públic.	• Framework Act 2/2012 of 27 April, on budget stability and financial sustainability, with amendments introduced by Framework Act 9/2013 of 20 December, on controlling commercial debt in the public sector.	• Ley orgánica 2/2012, de 27 de abril, de estabilidad presupuestaria y sostenibilidad financiera, con las modificaciones introducidas por la Ley orgánica 9/2013, de 20 de diciembre, de control de la deuda comercial en el sector público.
• Framework Act 9/2013 of 20 December, on controlling commercial debt in the public sector.	• Llei Orgànica 9/2013, de 20 de desembre, de control del deute comercial en el sector públic.	• Framework Act 9/2013 of 20 December, on controlling commercial debt in the public sector.	• Ley orgánica 9/2013, de 20 de diciembre, de control de la deuda comercial en el sector público.
• Act 27/2013 of 27 December, on the rationalisation and sustainability of local authorities.	• Llei 27/2013, de 27 de desembre, de racionalització i sostenibilitat de l'administració local.	• Act 27/2013 of 27 December, on the rationalisation and sustainability of local authorities.	• Ley 27/2013, de 27 de diciembre, de racionalización y sostenibilidad de la Administración local.
Furthermore, the Barcelona Municipal Charter, which was approved by Act 1/2006 of 13 March, regulates, among other things, municipal powers, the organisation of the Municipal Government, the districts, the organisation of the municipal	Per altra part, la Carta Municipal de Barcelona, aprovada per Llei 1/2006, de 13 de març, regula, entre d'altres matèries, les competències municipals, l'organització del govern municipal, els districtes, l'organització municipal executiva i la	Furthermore, the Barcelona Municipal Charter, which was approved by Act 1/2006 of 13 March, regulates, among other things, municipal powers, the organisation of the Municipal Government, the districts, the organisation of the municipal executive and public participation.	Por otra parte, la Carta Municipal de Barcelona, aprobada por Ley 1/2006, de 13 de marzo, regula, entre otras materias, las competencias municipales, la organización del Gobierno municipal, los distritos, la organización municipal ejecutiva y la participación ciudadana.
	participació ciutadana. L'aplicació dels principis i criteris comptables està presidida per la consideració de la importància en termes relatius que aquests i els seus efectes poden presentar. Per consegüent, és admissible la no aplicació estricta d'algun d'aquests, sempre que la importància relativa en termes quantitatius o qualitatius de la variació	
executive and public participation.	constatada sigui escassament significativa i no alteri, per tant, la imatge fidel de	
The accounting principles and criteria applied are heavily influenced by	la situació patrimonial i dels resultats. Les partides o els imports la importància	The accounting principles and criteria applied are heavily influenced by	
consideration of the importance they and their effects may have in relative terms.	relativa dels quals sigui escassament significativa poden aparèixer agrupats amb	consideration of the importance they and their effects may have in relative terms. As a result, they do not need to be strictly applied, provided that the relative quantitative or qualitative importance of the variation recorded is hardly significant and does not therefore affect the true and accurate picture of the net equity situation and the income and expenditure. Entries and amounts whose relative importance is scarcely significant may appear grouped together with others of a similar nature or function.	La aplicación de los principios y criterios contables está presidida por la consideración de la importancia en términos relativos que estos y sus efectos pueden presentar. Por consiguiente, es admisible la no aplicación estricta de alguno de estos, siempre que la importancia relativa en términos cuantitativos o cualitativos de la variación constatada sea escasamente significativa y no altere, por lo tanto, la imagen fiel de la situación patrimonial y de los resultados. Las partidas o los importes cuya importancia relativa sea escasamente significativa pueden aparecer agrupados con otros de naturaleza o función similares.
As a result, they do not need to be strictly applied, provided that the relative	altres de similar naturalesa o funció.	
quantitative or qualitative importance of the variation recorded is hardly significant and does not therefore affect the true and accurate picture of the net equity situation and the income and expenditure. Entries and amounts whose relative importance is scarcely significant may appear grouped together with others of a similar nature or function.	No existeixen raons excepcionals per les quals, per assolir els objectius anteriors,	
There are no exceptional reasons, for the purposes of achieving the above goals,	no s'hagin aplicat disposicions legals en matèria comptable.	There are no exceptional reasons, for the purposes of achieving the above goals, for current accounting provisions legally in force not to have been applied.	No existen razones excepcionales por las que, para alcanzar los objetivos anteriores, no se hayan aplicado disposiciones legales en materia contable.
for current accounting provisions legally in force not to have been applied.	L'Ajuntament formula comptes anuals consolidats que integren els comptes	
The City Council prepares consolidated annual accounts that include the accounts of the City Council, the group's entities (local independent bodies, publicly owned business entities and subsidiary trading companies), multi-group entities and	de l'Ajuntament, de les entitats del grup (organismes autònoms locals, entitats públiques empresarials i societats mercantils dependents), de les entitats	The City Council prepares consolidated annual accounts that include the accounts of the City Council, the group's entities (local independent bodies, publicly owned business entities and subsidiary trading companies), multi-group entities and associated entities.	El Ayuntamiento formula cuentas anuales consolidadas que integran las cuentas del Ayuntamiento, de las entidades del grupo (organismos autónomos locales, entidades públicas empresariales y sociedades mercantiles dependientes), de las entidades multigrupo y entidades asociadas.
associated entities.	multigrup i entitats associades.	
3.2. Comparison of the information	3.2. Comparació de la informació	3.2. Comparison of the information	3.2. Comparación de la información
The annual accounts for the financial years 2017 and 2016 were drawn up in accordance with the framework established under the IMNCL, and prepared under uniform valuation, grouping, classification and monetary-unit criteria. As a result, the information presented is homogeneous and comparable.	Els comptes anuals dels exercicis 2017 i 2016 s'han formulat d'acord amb la estructura establerta a la IMNCL, havent seguit en la seva elaboració l'aplicació de criteris uniformes de valoració, agrupació, classificació i unitats monetàries, de manera que la informació presentada és homogènia i comparable.	The annual accounts for the financial years 2017 and 2016 were drawn up in	Las cuentas anuales de los ejercicios 2017 y 2016 se han formulado de acuerdo
	accordance with the framework established under the IMNCL, and prepared under uniform valuation, grouping, classification and monetary-unit criteria. As a result, the information presented is homogeneous and comparable.	con la estructura establecida en la IMNCL, y para su elaboración se han seguido criterios uniformes de valoración, agrupación, clasificación y unidades monetarias, de modo que la información presentada es homogénea y comparable.
3.3. Reasons for and effects on the annual accounts of changes in accounting criteria and error corrections	3.3. Raons e incidència en els comptes anuals dels canvis en criteris de comptabilització i correcció d'errors	3.3. Reasons for and effects on the annual accounts of changes in	3.3. Razones e incidencia en las cuentas anuales de los cambios en
	accounting criteria and error corrections	criterios de contabilización y corrección de errores
There were no changes to the accounting criteria in the previous financial year nor were any errors identified that had to be corrected.	No s'han produït canvis en els criteris comptables respecte a l'exercici anterior ni s'han identificat errors que haurien de ser corregits.	There were no changes to the accounting criteria in the previous financial year nor were any errors identified that had to be corrected.	No se han producido cambios en los criterios contables con respecto al ejercicio anterior ni se han identificado errores que tendrían que ser corregidos.
3.4. Information on changes in accounting estimates where these are	3.4. Informació sobre canvis en estimacions comptables quan siguin significatius	3.4. Information on changes in accounting estimates where these are	3.4. Información sobre cambios en estimaciones contables cuando sean significativos
significant There were no significant changes to the accounting estimates.	No s'han produït canvis significatius en les estimacions comptables.	significant There were no significant changes to the accounting estimates.	No se han producido cambios significativos en las estimaciones contables.
4. Recognition and valuation regulations	4. Normes de reconeixement i valoració	4. Recognition and valuation regulations	4. Normas de reconocimiento y valoración
The most important accounting criteria applied in the preparation of the annual accounts were as follows:	Els criteris comptables més significatius aplicats en la formulació dels comptes anuals són els que es descriuen a continuació:	The most important accounting criteria applied in the preparation of the annual accounts were as follows:	Los criterios contables más significativos aplicados en la formulación de las cuentas anuales son los que se describen a continuación:
4.1. Tangible fixed assets	4.1. Immobilitzat material	4.1. Tangible fixed assets	4.1. Inmovilizado material
Capitalisation Criteria	Criteris d'activació	Capitalisation Criteria	Criterios de activación
These are tangible assets, movable and immovable property which:	Són actius tangibles, mobles i immobles que:	These are tangible assets, movable and immovable property which:	Son activos tangibles, muebles e inmuebles que:
• The City Council possesses for its own use in the production or supply of goods and services or for its own administrative purposes.	• Posseeix l'Ajuntament per al seu ús en la producció o subministrament de béns i serveis o per als seus propis propòsits administratius.	• The City Council possesses for its own use in the production or supply of	• Posee la entidad para su uso en la producción o suministro de bienes y
	goods and services or for its own administrative purposes.	servicios o para sus propios propósitos administrativos.
• These are expected to have a useful life of over a year.	• S'espera que tinguin una vida útil major a un any.	• These are expected to have a useful life of over a year.	• Se espera que tengan una vida útil mayor a un año.
Initial valuation	Valoració inicial	Initial valuation	Valoración inicial
Investments in tangible fixed assets are valued at cost. This is the “acquisition price”, which includes the non-recoverable indirect taxes associated with the purchase, the acquisition costs directly relating to the purchase and, where necessary, the costs for putting the acquisition into service.	Les inversions en béns de l'immobilitzat material es valoren al seu cost. Això és el “preu d'adquisició”, inclosos els impostos indirectes no recuperables associats a la compra, els costos d'adquisició directament relacionats amb la compra i els de posada en funcionament, si escau.	Investments in tangible fixed assets are valued at cost. This is the “acquisition	Las inversiones en bienes del inmovilizado material se valoran a su coste. Este
	price”, which includes the non-recoverable indirect taxes associated with the	es el “precio de adquisición”, incluidos los impuestos indirectos no recuperables
	purchase, the acquisition costs directly relating to the purchase and, where	asociados a la compra, los costes de adquisición directamente relacionados con la compra y los de puesta en funcionamiento, en su caso.
	necessary, the costs for putting the acquisition into service.	Los bienes aflorados como consecuencia de la realización de un inventario físico
Assets that appear as a result of a physical inventory taking are entered under their fair value where it was not possible to obtain evidence of their original cost.	Els béns aflorats com a conseqüència de la realització d'un inventari físic són registrats pel seu valor raonable si no ha estat possible obtenir evidència del seu cost original.	Assets that appear as a result of a physical inventory taking are entered under	son registrados por su valor razonable si no ha sido posible obtener evidencia de
	their fair value where it was not possible to obtain evidence of their original cost.	su coste original.
Received assets allocated for a period equal to or in excess of their economic life	Els béns rebuts en cessió per un termini igual o superior a la vida econòmica del bé es registren pel seu valor net comptable a la data de formalització la cessió.	Received assets allocated for a period equal to or in excess of their economic life	Los bienes recibidos en cesión por un plazo igual o superior a la vida económica del
are entered under their net accounting value on their formal allocation. Additions from before 1 January 1992 are valued according to an expert estimate of their real market value carried out by an independent valuation company. For historical and artistic properties, the valuation includes their replacement value.	Les addicions anteriors a l'1 de gener de 1992 es troben valorades segons una estimació pericial del valor real de mercat en ús realitzada per una societat de taxació independent. En el cas d'immobles de caràcter historicoartístic, la taxació recull el seu valor de reposició.	are entered under their net accounting value on their formal allocation.	bien se registran por su valor neto contable en la fecha de formalización de la cesión.
	Additions from before 1 January 1992 are valued according to an expert estimate	Las adiciones anteriores al 1 de enero de 1992 se encuentran valoradas según una
	of their real market value carried out by an independent valuation company. For historical and artistic properties, the valuation includes their replacement value.	estimación pericial del valor real de mercado en uso realizada por una sociedad de tasación independiente. En el caso de inmuebles de carácter histórico-artístico, la tasación recoge su valor de reposición.
Capitalisation of financial expenditure	Capitalització de despeses financeres	Capitalisation of financial expenditure	Capitalización de gastos financieros
Financial expenditure is not incorporated in the tangible fixed assets' costs.	No s'incorporen despeses financeres en el cost dels béns de l'immobilitzat material.	Financial expenditure is not incorporated in the tangible fixed assets' costs.	No se incorporan gastos financieros en el coste de los bienes del inmovilizado material.
Subsequent valuation	Valoració posterior	Subsequent valuation	Valoración posterior
Tangible fixed asset elements are generally valued at cost, plus subsequent payments, less accumulated depreciation and valuation adjustments for impairment.	Amb caràcter general, els elements de l'immobilitzat material es valoren al seu cost, més els desemborsaments posteriors, menys l'amortització acumulada i les correccions valoratives per deteriorament.	Tangible fixed asset elements are generally valued at cost, plus subsequent	Con carácter general, los elementos del inmovilizado material se valoran a su
	payments, less accumulated depreciation and valuation adjustments for impairment.	
